experiment,gpu_id,source_file,model,batch_size,batch_mb,input_channels,input_size,num_workers,prefetch_factor,pin_memory,warmup_steps,iterations,compute_mean_ms,compute_p50_ms,compute_p95_ms,compute_img_s,fetch_only_mean_ms,fetch_only_p50_ms,fetch_only_p95_ms,fetch_only_img_s,e2e_mean_ms,e2e_p50_ms,e2e_p95_ms,e2e_img_s,e2e_fetch_mean_ms,e2e_gpu_mean_ms,overhead_vs_compute_ms,slowdown_vs_compute,fetch_only_pct_of_compute,gpu_name,pytorch_version,cuda_version,timestamp
batch_size_sweep_gpu1_768_to_3072_long,1,dataloader_ipc_sweep_gpu1_large_long.csv,resnet18,768,462.422016,3,224,8,2,True,20,200,164.7767216455395,164.60229450603947,166.2619393995556,4660.852530201979,171.3534665102634,167.76338649651734,345.82546714373166,4481.963602142825,205.78416806420137,204.88352850225056,206.37506840139395,3732.0655287747713,1.1796597849024693,204.60184813498927,41.00744641866186,1.2488667453092996,103.99130702385952,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 05:26:41
batch_size_sweep_gpu1_768_to_3072_long,1,dataloader_ipc_sweep_gpu1_large_long.csv,resnet18,1024,616.562688,3,224,8,2,True,20,200,220.96097584508243,220.89482750016032,222.29343673825497,4634.3024875032,228.44822189006663,230.9079365004436,266.68977340596035,4482.416153331967,299.85542176094896,273.5572664969368,344.8750792442297,3414.979105551589,13.021329294642783,286.8292946946167,78.89444591586653,1.3570514911700067,103.38849247761902,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 05:29:36
batch_size_sweep_gpu1_768_to_3072_long,1,dataloader_ipc_sweep_gpu1_large_long.csv,resnet18,1536,924.844032,3,224,8,2,True,20,200,333.0520470500778,332.86835449689534,335.1794892012549,4611.891785697527,355.4351665998547,359.50920100003714,374.488969653612,4321.463221249611,423.8482384195231,411.1453334990074,502.8354988899082,3623.938619463304,0.7264564742217772,423.1151521600259,90.7961913694453,1.2726186257482848,106.72060710871756,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 05:33:48
batch_size_sweep_gpu1_768_to_3072_long,1,dataloader_ipc_sweep_gpu1_large_long.csv,resnet18,2048,1233.125376,3,224,8,2,True,20,200,446.2822321197018,446.0571564923157,449.073046844569,4589.024282397793,440.0252030064439,436.3694720013882,490.30085344784305,4654.2788594998,566.80492944055,554.3628544983221,602.2689605517372,3613.2360422860556,0.7836328158009565,566.0144132596906,120.52269732084824,1.2700593674733653,98.59796589177684,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 05:39:23
batch_size_sweep_gpu1_768_to_3072_long,1,dataloader_ipc_sweep_gpu1_large_long.csv,resnet18,3072,1849.688064,3,224,8,2,True,20,200,671.3402014748863,671.4677829950233,673.5976482028491,4575.9214080298425,693.8749882495904,677.7789065017714,2111.329729141288,4427.310469497693,883.88189294943,828.9504185013357,1024.9306685909685,3475.5774776073613,27.066624889848754,856.8036973098788,212.54169147454377,1.3165931237360804,103.35668662850769,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 05:47:53
worker_sweep_gpu5_batch1024_long,5,dataloader_ipc_workers_gpu5_batch1024_long.csv,resnet18,1024,616.562688,3,224,1,2,True,20,200,219.02064982466982,218.97633849584963,220.41211835967258,4675.358240511711,589.7351515055198,586.2640289997216,607.766460612038,1736.3726706570849,570.3966963753192,569.3896615048288,600.161821545771,1795.2418141745534,298.84222606437106,271.5524076852307,351.37604655064933,2.6043055612880908,269.2600683897221,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 06:06:58
worker_sweep_gpu5_batch1024_long,5,dataloader_ipc_workers_gpu5_batch1024_long.csv,resnet18,1024,616.562688,3,224,2,2,True,20,200,218.72422931010078,218.66616400075145,219.95121879372164,4681.694402261228,306.84137776028365,271.20525449572597,668.293474004895,3337.2291816522493,284.6780156253226,272.91410550969886,307.500700057426,3597.0462901769415,6.511374170950148,278.16305561987974,65.9537863152218,1.3015385470702219,140.28687115648856,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 06:10:06
worker_sweep_gpu5_batch1024_long,5,dataloader_ipc_workers_gpu5_batch1024_long.csv,resnet18,1024,616.562688,3,224,3,2,True,20,200,218.6474032100523,218.61182549764635,219.98610215450753,4683.339408409318,273.4836581300624,221.9600864991662,729.7502078981778,3744.2822251302846,285.6350945799204,272.6040119960089,328.13244025019236,3584.993648998148,2.920637210336281,282.71061729989015,66.98769136986812,1.3063731395223284,125.07976500746706,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 06:13:07
worker_sweep_gpu5_batch1024_long,5,dataloader_ipc_workers_gpu5_batch1024_long.csv,resnet18,1024,616.562688,3,224,4,2,True,20,200,218.65747708019626,218.61465749680065,219.7792836013832,4683.123640105072,242.13524497499748,239.5211145048961,255.7961102989793,4229.041501602696,272.81949019496096,272.49152950389544,274.8933505099558,3753.397527677491,0.5471959453279851,272.2691897312325,54.162013114764704,1.2477025429818707,110.73723533643003,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 06:16:00
worker_sweep_gpu5_batch1024_long,5,dataloader_ipc_workers_gpu5_batch1024_long.csv,resnet18,1024,616.562688,3,224,5,2,True,20,200,218.3687249103241,218.30963600223185,219.48604930294096,4689.31620322699,246.3582678194507,223.18357699987246,1089.344331209577,4156.548140492942,273.7388034244941,272.4234964916832,275.05264164938126,3740.7922705501705,0.5335225396993337,273.20156193498406,55.37007851417002,1.2535623108891094,112.81756026217623,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 06:18:53
worker_sweep_gpu5_batch1024_long,5,dataloader_ipc_workers_gpu5_batch1024_long.csv,resnet18,1024,616.562688,3,224,6,2,True,20,200,218.55099662469001,218.53600350004854,219.70344135334017,4685.405309583097,226.5271535852662,222.50251049990766,477.40568414883455,4520.429378081423,272.6703987445944,272.17189200018765,273.0765807471471,3755.4498204227984,0.4699827745935181,272.1977480753412,54.11940211990441,1.247628255902405,103.64956329815936,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 06:21:44
worker_sweep_gpu5_batch1024_long,5,dataloader_ipc_workers_gpu5_batch1024_long.csv,resnet18,1024,616.562688,3,224,7,2,True,20,200,218.56301032916235,218.5002269980032,219.95745439926395,4685.1477679495065,221.47888862498803,219.2667969939066,460.11416170658765,4623.4654975800195,281.3212433852459,272.1874624985503,298.33707251018495,3639.966849562504,5.2363455248996615,276.08152872468054,62.758233056083554,1.2871402300030907,101.33411334856446,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 06:24:36
worker_sweep_gpu5_batch1024_long,5,dataloader_ipc_workers_gpu5_batch1024_long.csv,resnet18,1024,616.562688,3,224,8,2,True,20,200,218.30325523987995,218.24672000366263,219.47193734595203,4690.722540416494,222.33302806009306,220.17230700294022,721.5391374455033,4605.70347525348,274.7419426400302,271.93083399470197,273.13128590540146,3727.13387027934,2.6773006149596768,272.0621103152371,56.43868740015023,1.2585334210345753,101.84595177739564,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 06:27:28
worker_sweep_gpu5_batch1024_long,5,dataloader_ipc_workers_gpu5_batch1024_long.csv,resnet18,1024,616.562688,3,224,9,2,True,20,200,218.49407927555148,218.45080500497716,219.7465696524887,4686.625849978265,261.2157231497258,259.56398099515354,547.4351038486928,3920.13155889952,273.6151917396637,272.5807819952024,273.51011980281334,3742.4822557890134,1.3909752853942337,272.2202262755309,55.12111246411223,1.2522773735877613,119.5527695834249,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 06:30:31
worker_sweep_gpu5_batch1024_long,5,dataloader_ipc_workers_gpu5_batch1024_long.csv,resnet18,1024,616.562688,3,224,10,2,True,20,200,218.27775319565262,218.197763999342,219.55074439683813,4691.27057159206,255.7045166994794,256.059154511604,725.5306253558953,4004.622261731385,299.67527273991436,272.2384649969172,354.3430469486338,3417.032011475705,19.122353175262106,280.5487856200489,81.39751954426174,1.3729079961314303,117.1463939663514,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 06:33:38
worker_sweep_gpu5_batch1024_long,5,dataloader_ipc_workers_gpu5_batch1024_long.csv,resnet18,1024,616.562688,3,224,11,2,True,20,200,218.37303632957628,218.2883844943717,219.54096734407358,4689.2236203307775,224.06253703535185,224.26340100355446,461.605480252183,4570.15266161356,274.37878423057555,272.09794049849734,273.0560153933765,3732.066977669369,2.7172889850044157,271.6587442848686,56.00574790099927,1.2564682382145085,102.60540440404408,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 06:36:34
worker_sweep_gpu5_batch1024_long,5,dataloader_ipc_workers_gpu5_batch1024_long.csv,resnet18,1024,616.562688,3,224,12,2,True,20,200,218.1883230893436,218.18683099991176,219.39599570760038,4693.193409716491,222.858245500247,0.2535165040171705,1535.611715708364,4594.849060672808,310.2220259596652,272.4480394972488,704.0881035463825,3300.8616871489958,25.853580929979216,284.36325051974563,92.03370287032158,1.4218085622878895,102.14031729323624,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 06:39:38
worker_sweep_gpu5_batch1024_long,5,dataloader_ipc_workers_gpu5_batch1024_long.csv,resnet18,1024,616.562688,3,224,13,2,True,20,200,218.242154769614,218.14409799844725,219.42302000024938,4692.035785116672,228.45772614091402,225.86306849552784,844.4755414049713,4482.229676786641,280.45961216979777,272.2774750000099,274.2104159522569,3651.1495971835084,7.341790110149304,273.11469125561416,62.217457400183775,1.2850845083795257,104.68084242573761,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 06:42:38
worker_sweep_gpu5_batch1024_long,5,dataloader_ipc_workers_gpu5_batch1024_long.csv,resnet18,1024,616.562688,3,224,14,2,True,20,200,218.4723916607618,218.42081049544504,219.66469750404937,4687.0910883332135,225.33767863977118,227.8046414940036,672.6415943056054,4544.291066550768,273.0845846446027,272.416900996177,274.6796134961187,3749.753950164021,0.45460826528142206,272.6272456199513,54.61219298384094,1.2499729717274362,103.14240482599267,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 06:45:38
worker_sweep_gpu5_batch1024_long,5,dataloader_ipc_workers_gpu5_batch1024_long.csv,resnet18,1024,616.562688,3,224,15,2,True,20,200,218.83393976015213,218.76390450051986,220.15373400281533,4679.347276397489,219.58625617022335,222.90935800265288,472.4086127032932,4663.315536497853,319.29032638036006,272.2244284959743,714.9119406596583,3207.1125098232465,32.538292045210255,286.7486901153461,100.45638662020792,1.4590530460234405,100.34378415473202,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 06:48:47
worker_sweep_gpu5_batch1024_long,5,dataloader_ipc_workers_gpu5_batch1024_long.csv,resnet18,1024,616.562688,3,224,16,2,True,20,200,218.41275821003364,218.4142195037566,219.42723050378842,4688.370809434513,224.6797282352054,224.48042999894824,544.1844873021158,4557.598533891888,320.3650630995253,272.4419470032444,717.1926932969654,3196.353528979788,36.10992443085706,284.25115921032557,101.95230488949164,1.4667873146469337,102.86932415328285,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 06:52:01
worker_sweep_gpu5_batch1024_long,5,dataloader_ipc_workers_gpu5_batch1024_long.csv,resnet18,1024,616.562688,3,224,17,2,True,20,200,218.3801292298449,218.35988949897,219.46883455311763,4689.071316201305,222.5405593002506,230.55626100540394,686.6516480607969,4601.40840492103,275.4733675150783,272.26140800485155,276.1368084065907,3717.2377469264807,2.796050985925831,272.67353779505356,57.09323828523338,1.2614397128831387,101.90513215880867,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 06:55:07
worker_sweep_gpu5_batch1024_long,5,dataloader_ipc_workers_gpu5_batch1024_long.csv,resnet18,1024,616.562688,3,224,18,2,True,20,200,218.61706541487365,218.59305299585685,219.82876300244243,4683.989321953143,225.5812530501862,236.39152100804495,663.4085696015972,4539.384306780961,316.3800209391775,272.09215499897255,724.5296630004304,3236.6139839053203,36.9710401003249,279.4060948697006,97.76295552430383,1.4471881247640812,103.18556450389474,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 06:58:20
worker_sweep_gpu5_batch1024_long,5,dataloader_ipc_workers_gpu5_batch1024_long.csv,resnet18,1024,616.562688,3,224,19,2,True,20,200,218.55383680958766,218.44752800097922,219.81007284266525,4685.344421073455,219.34826239048562,0.25366399495396763,1186.258561400608,4668.375253308671,272.3231047209265,271.69500200398033,275.9088478567719,3760.2391506566555,0.4871986101352377,271.8332271294639,53.76926791133883,1.2460229877281204,100.36349193978694,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 07:01:27
worker_sweep_gpu5_batch1024_long,5,dataloader_ipc_workers_gpu5_batch1024_long.csv,resnet18,1024,616.562688,3,224,20,2,True,20,200,218.30433257004188,218.1997584993951,219.63659910106801,4690.699391737699,236.1395102091774,221.21182599948952,862.2555086047208,4336.419598282892,277.18762635515304,272.19082400551997,283.0206963488308,3694.2485978359523,3.8201465451857075,273.36396339538624,58.883293785111164,1.2697303030677083,108.16986883822527,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 07:04:31
worker_sweep_gpu5_batch1024_long,5,dataloader_ipc_workers_gpu5_batch1024_long.csv,resnet18,1024,616.562688,3,224,21,2,True,20,200,218.64426286425442,218.56041900173295,220.1038103135943,4683.406674318968,243.5393686950556,0.3095385036431253,1289.53538519272,4204.659006413814,277.69833399499475,272.04162549605826,281.57893100724317,3687.4546032330773,5.044007100732415,272.6515883702814,59.05407113074034,1.27009202234318,111.38612351619642,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 07:07:39
worker_sweep_gpu5_batch1024_long,5,dataloader_ipc_workers_gpu5_batch1024_long.csv,resnet18,1024,616.562688,3,224,22,2,True,20,200,218.65468521529692,218.59058249538066,220.00945840118223,4683.183435981374,249.14673338462308,238.70761250145733,799.2690455437695,4110.027798033332,277.8783783745894,272.4162465019617,279.19242115312954,3685.0654087941075,4.869702395517379,273.0057344105444,59.22369315929245,1.270854901192619,113.9452983316147,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 07:10:50
worker_sweep_gpu5_batch1024_long,5,dataloader_ipc_workers_gpu5_batch1024_long.csv,resnet18,1024,616.562688,3,224,23,2,True,20,200,218.74123158020666,218.71659001044463,219.99776055527033,4681.330504553395,233.0796409452887,0.3384235023986548,1024.299691151099,4393.348109886465,277.78764919967216,271.97969449480297,277.0982195499528,3686.2690006205235,5.4333570002927445,272.3511060245801,59.0464176194655,1.269937300768167,106.55496417456374,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 07:13:57
worker_sweep_gpu5_batch1024_long,5,dataloader_ipc_workers_gpu5_batch1024_long.csv,resnet18,1024,616.562688,3,224,24,2,True,20,200,218.2028600895137,218.15806649101432,219.43433134729273,4692.8807421677375,240.7610713160102,212.23928600375075,707.2243369431809,4253.179280199962,278.95696118946944,272.4291210033698,286.8945758418704,3670.8171598718136,4.912279659838532,274.0409845954855,60.75410109995573,1.2784294443942323,110.3381831096267,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 07:17:09
